CODE;NAME
SS11;A00
SS12;A01
SS13;A02
SS14;A03
SS21;A01
SS22;A04
SS23;A05
SS24;A06
SS31;A02
SS32;A05
SS33;A07
SS34;A08
SS41;A03
SS42;A06
SS43;A08
SS44;A09
SI11;B00
SI12;B01
SI13;B02
SI14;B03
SI21;B04
SI22;B05
SI23;B06
SI24;B07
SI31;B08
SI32;B09
SI33;B10
SI34;B11
SI41;B12
SI42;B13
SI43;B14
SI44;B15
SM11;C00
SM12;C01
SM13;C02
SM14;C03
SM21;C04
SM22;C05
SM23;C06
SM24;C07
SM31;C08
SM32;C09
SM33;C10
SM34;C11
SM41;C12
SM42;C13
SM43;C14
SM44;C15
SP11;D00
SP12;D01
SP13;D02
SP14;D03
SP21;D04
SP22;D05
SP23;D06
SP24;D07
SP31;D08
SP32;D09
SP33;D10
SP34;D11
SP41;D12
SP42;D13
SP43;D14
SP44;D15
IS11;B00
IS12;B04
IS13;B08
IS14;B12
IS21;B01
IS22;B05
IS23;B09
IS24;B13
IS31;B02
IS32;B06
IS33;B10
IS34;B14
IS41;B03
IS42;B07
IS43;B11
IS44;B15
II11;E00
II12;E01
II13;E02
II14;E03
II21;E01
II22;E04
II23;E05
II24;E06
II31;E02
II32;E05
II33;E07
II34;E08
II41;E03
II42;E06
II43;E08
II44;E09
IM11;F00
IM12;F01
IM13;F02
IM14;F03
IM21;F04
IM22;F05
IM23;F06
IM24;F07
IM31;F08
IM32;F09
IM33;F10
IM34;F11
IM41;F12
IM42;F13
IM43;F14
IM44;F15
IP11;G00
IP12;G01
IP13;G02
IP14;G03
IP21;G04
IP22;G05
IP23;G06
IP24;G07
IP31;G08
IP32;G09
IP33;G10
IP34;G11
IP41;G12
IP42;G13
IP43;G14
IP44;G15
MS11;C00
MS12;C04
MS13;C08
MS14;C12
MS21;C01
MS22;C05
MS23;C09
MS24;C13
MS31;C02
MS32;C06
MS33;C10
MS34;C14
MS41;C03
MS42;C07
MS43;C11
MS44;C15
MI11;F00
MI12;F04
MI13;F08
MI14;F12
MI21;F01
MI22;F05
MI23;F09
MI24;F13
MI31;F02
MI32;F06
MI33;F10
MI34;F14
MI41;F03
MI42;F07
MI43;F11
MI44;F15
MM11;H00
MM12;H01
MM13;H02
MM14;H03
MM21;H01
MM22;H04
MM23;H05
MM24;H06
MM31;H02
MM32;H05
MM33;H07
MM34;H08
MM41;H03
MM42;H06
MM43;H08
MM44;H09
MP11;I00
MP12;I01
MP13;I02
MP14;I03
MP21;I04
MP22;I05
MP23;I06
MP24;I07
MP31;I08
MP32;I09
MP33;I10
MP34;I11
MP41;I12
MP42;I13
MP43;I14
MP44;I15
PS11;D00
PS12;D04
PS13;D08
PS14;D12
PS21;D01
PS22;D05
PS23;D09
PS24;D13
PS31;D02
PS32;D06
PS33;D10
PS34;D14
PS41;D03
PS42;D07
PS43;D11
PS44;D15
PI11;G00
PI12;G04
PI13;G08
PI14;G12
PI21;G01
PI22;G05
PI23;G09
PI24;G13
PI31;G02
PI32;G06
PI33;G10
PI34;G14
PI41;G03
PI42;G07
PI43;G11
PI44;G15
PM11;I00
PM12;I04
PM13;I08
PM14;I12
PM21;I01
PM22;I05
PM23;I09
PM24;I13
PM31;I02
PM32;I06
PM33;I10
PM34;I14
PM41;I03
PM42;I07
PM43;I11
PM44;I15
PP11;J00
PP12;J01
PP13;J02
PP14;J03
PP21;J01
PP22;J04
PP23;J05
PP24;J06
PP31;J02
PP32;J05
PP33;J07
PP34;J08
PP41;J03
PP42;J06
PP43;J08
PP44;J09
