Neuron;Modality
101;I
102;I
103;S
104;S
105;S
106;S
107;S
108;S
109;S
110;S
111;I
112;I
113;I
114;I
115;I
116;I
117;I
118;I
119;I
120;I
121;I
122;I
123;P
124;S
125;S
126;S
127;S
128;S
129;M
130;M
131;M
132;M
133;M
134;M
135;M
136;M
137;M
138;M
139;M
140;S
141;S
142;S
143;S
144;S
145;S
146;S
147;S
148;S
149;S
150;S
151;S
152;I
153;I
154;I
155;I
156;I
157;I
158;I
159;I
160;I
161;I
162;I
163;I
164;I
165;I
166;I
167;I
168;I
169;I
170;I
171;P
172;S
173;S
174;S
175;S
176;S
177;S
178;S
179;S
180;S
181;I
182;I
183;?
184;?
185;S
186;S
187;S
188;S
189;M
190;M
191;M
192;M
193;M
194;M
195;M
196;M
197;M
198;P
199;P
200;P
201;P
202;P
203;P
204;P
205;M
206;M
207;M
208;M
209;M
210;M
211;P
212;P
213;I
214;S
215;S
216;M
217;M
218;I
219;I
220;I
221;I
222;I
223;I
224;I
225;I
226;P
227;P
228;P
229;P
230;P
231;P
232;S
233;S
234;S
235;S
236;S
237;S
238;I
239;I
240;M
241;M
242;M
243;M
244;M
245;M
246;M
247;M
248;M
249;P
250;P
251;P
252;S
253;S
254;P
255;P
256;P
257;P
258;M
259;M
260;S
261;S
262;S
263;S
264;S
265;S
266;S
267;S
268;S
269;S
270;S
271;S
272;S
273;I
274;I
275;S
276;S
277;S
278;P
279;P
280;I
281;I
282;I
283;I
284;I
285;I
286;I
287;I
288;I
289;I
290;I
291;I
292;I
293;I
294;P
295;I
296;I
297;I
298;I
299;I
300;P
301;P
302;I
303;I
304;I
305;I
306;P
307;P
308;M
309;M
310;M
311;M
312;M
313;M
314;M
315;M
316;M
317;M
318;M
319;M
320;I
321;I
322;M
323;M
324;P
325;P
326;P
327;P
328;P
329;P
330;P
331;P
332;P
333;P
334;P
335;P
336;P
337;P
338;P
339;P
340;P
341;M
342;M
343;M
344;M
345;M
346;M
347;M
348;M
349;P
350;P
351;P
352;P
353;I
354;I
355;S
356;S
357;S
358;S
359;S
360;S
361;M
362;M
363;M
364;M
365;M
366;M
367;M
368;M
369;M
370;M
371;M
372;M
373;P
374;P
375;P
376;P
377;P
378;P
379;P
380;P
381;P
382;P
383;P
384;M
385;M
386;M
387;M
388;M
389;M
390;M
391;M
392;M
393;M
394;M
395;M
396;M
397;M
398;M
399;M
400;M
401;M
402;M
